filepath,start_time,end_time
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,21.2,26.2
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,26.5,30.7
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,30.8,34.6
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,35.1,43.1
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,43.7,47.5
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,48.0,50.2
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,50.5,52.3
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,52.4,56.8
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,57.0,62.3
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,62.4,65.9
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,67.1,68.6
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,69.2,74.9
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,75.2,82.0
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,82.1,85.1
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,85.4,87.0
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,87.4,88.9
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,89.2,90.0
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,90.8,91.7
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,91.9,92.7
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,92.9,93.8
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,94.0,94.8
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,95.0,95.6
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,95.7,96.562
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,9.7,12.3
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,12.7,14.3
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,15.6,20.3
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,21.2,25.4
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,25.7,26.9
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,27.4,30.0
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,30.1,32.3
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,33.0,38.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,39.1,47.2
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,48.6,52.5
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,52.6,54.2
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,54.4,57.1
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,57.7,61.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,61.9,67.1
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,67.9,71.5
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,72.1,77.8
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,78.0,82.3
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,83.0,85.2
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,86.2,88.5
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,88.6,92.8
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,93.1,96.4
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,96.7,100.2
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,100.5,104.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,105.0,109.0
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,109.4,110.3
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,110.9,111.8
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,111.9,112.7
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,113.0,113.9
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,114.0,114.8
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,115.0,115.8
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36358.ogg,116.0,116.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,9.8,11.4
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,11.6,12.5
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,12.8,15.4
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,15.8,23.1
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,23.5,27.3
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,27.9,31.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,31.8,37.0
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,37.4,46.7
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,47.2,52.8
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,53.3,57.7
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,58.1,64.1
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,64.4,69.0
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,69.2,72.1
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,72.5,75.5
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,75.8,81.9
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,82.1,85.9
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,86.0,89.2
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,89.5,90.3
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,90.4,94.1
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,94.3,100.2
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,100.4,101.2
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,101.4,102.3
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,102.4,103.2
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,103.5,104.4
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36366.ogg,104.5,105.466
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,9.7,15.4
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,15.8,18.2
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,18.4,23.1
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,23.2,26.8
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,27.2,29.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,29.8,35.8
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,36.0,40.5
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,41.1,42.8
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,42.9,45.1
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,45.6,46.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,47.4,50.7
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,50.9,55.4
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,55.8,59.7
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,60.0,62.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,62.9,66.0
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,66.2,72.8
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,73.4,76.0
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,76.3,80.7
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,80.8,83.4
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,83.5,87.3
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,87.7,89.5
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,89.7,94.0
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,94.1,97.1
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,97.7,98.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,98.8,99.5
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,99.8,100.7
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,100.8,101.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,101.8,102.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36373.ogg,102.8,103.5
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,9.7,17.3
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,17.5,21.7
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,21.9,27.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,27.7,33.1
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,33.4,38.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,38.8,40.5
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,40.7,44.0
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,44.2,48.7
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,49.8,57.1
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,57.4,59.8
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,60.0,64.7
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,64.8,66.9
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,67.0,69.1
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,69.3,71.4
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,71.7,75.3
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,75.7,81.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,82.3,87.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,87.8,88.6
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,90.6,91.4
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,91.6,92.3
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,92.6,93.5
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,93.6,94.4
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,94.7,95.3
/home/jupyter/gcs_mount/raw_data/train_audio/1192948/CSA36388.ogg,95.4,96.094
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18783.ogg,27.3,28.1
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18783.ogg,28.2,28.8
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18783.ogg,28.9,29.6
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18783.ogg,29.7,30.5
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18783.ogg,30.6,31.3
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18783.ogg,31.4,32.274
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18794.ogg,0.9,1.8
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18794.ogg,5.2,5.9
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18794.ogg,8.5,9.3
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18794.ogg,9.5,10.0
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18794.ogg,10.2,10.8
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18794.ogg,11.0,11.8
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18794.ogg,11.9,12.7
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18794.ogg,12.8,13.5
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18802.ogg,17.3,17.9
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18802.ogg,18.0,20.0
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18802.ogg,20.3,22.6
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18802.ogg,39.7,40.5
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18802.ogg,40.7,41.1
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18802.ogg,41.3,42.1
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18802.ogg,42.2,42.8
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18802.ogg,42.9,43.6
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18802.ogg,43.7,45.1
/home/jupyter/gcs_mount/raw_data/train_audio/1194042/CSA18802.ogg,45.2,46.0
/home/jupyter/gcs_mount/raw_data/train_audio/126247/iNat146584.ogg,0.0,0.3
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18784.ogg,39.5,40.3
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18784.ogg,40.4,41.0
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18784.ogg,41.1,41.8
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18784.ogg,42.0,42.7
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18784.ogg,42.8,43.5
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18784.ogg,43.6,44.3
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18791.ogg,71.9,72.7
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18791.ogg,72.8,73.3
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18791.ogg,73.5,74.2
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18791.ogg,74.3,75.1
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18791.ogg,75.2,76.0
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18791.ogg,76.1,76.682
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18792.ogg,22.8,23.6
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18792.ogg,23.8,24.3
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18792.ogg,24.5,25.1
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18792.ogg,25.3,26.0
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18792.ogg,26.1,26.9
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18792.ogg,27.2,27.882
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,29.8,31.3
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,31.4,34.0
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,36.6,38.8
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,39.3,44.1
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,45.4,45.9
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,46.1,46.8
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,50.0,50.9
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,51.7,52.6
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,53.7,54.5
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,54.6,55.3
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,56.4,57.1
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,58.0,58.6
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,59.2,60.0
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,61.9,62.7
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,62.8,63.4
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,63.5,64.2
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,64.3,65.1
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,65.2,66.0
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18793.ogg,66.1,66.9
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18803.ogg,96.1,97.2
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18803.ogg,98.5,100.4
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18803.ogg,100.6,102.2
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18803.ogg,103.1,103.9
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18803.ogg,104.0,104.6
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18803.ogg,104.7,105.4
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18803.ogg,105.5,106.9
/home/jupyter/gcs_mount/raw_data/train_audio/1346504/CSA18803.ogg,107.0,107.8
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,9.4,10.9
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,11.3,17.3
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,17.6,19.6
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,19.8,21.2
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,22.2,25.1
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,25.8,29.9
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,30.2,33.4
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,34.1,38.6
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,38.9,43.9
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,44.0,47.6
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,47.9,48.8
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,49.2,53.1
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,53.6,58.3
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,59.0,59.7
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,59.8,64.6
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,65.5,67.9
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,68.3,72.2
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,72.7,75.0
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,75.6,77.5
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,78.2,84.9
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,85.7,92.6
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,93.2,101.3
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,102.2,103.1
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,103.3,104.1
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,104.3,105.2
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,105.3,106.1
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,106.4,107.2
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36371.ogg,107.3,107.8
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,9.6,14.9
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,15.1,15.6
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,15.9,18.1
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,18.4,22.6
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,22.9,23.4
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,23.8,27.7
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,27.9,30.3
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,30.7,35.1
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,35.3,36.2
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,36.7,41.3
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,41.4,45.2
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,45.7,48.4
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,48.6,49.9
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,50.0,52.6
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,52.7,54.6
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,55.0,58.5
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,58.9,63.6
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,63.7,68.6
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,69.1,70.5
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,71.1,75.0
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,75.5,77.7
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,77.9,80.3
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,80.8,84.2
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,84.4,89.1
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,89.6,92.1
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,92.4,93.2
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,93.6,94.5
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,94.7,95.5
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,95.7,96.6
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,96.7,97.5
/home/jupyter/gcs_mount/raw_data/train_audio/1462711/CSA36379.ogg,97.7,98.5
